,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,YFTicker,EPS
0,20MICRONS,20 Microns Limited,EQ,06-Oct-08,5,1,INE144J01027,5,20MICRONS.NS,5.081
1,21STCENMGM,21st Century Management Services Limited,EQ,03-May-95,10,1,INE253B01015,10,21STCENMGM.NS,44.453
2,3IINFOLTD,3i Infotech Limited,BE,22-Oct-21,10,1,INE748C01038,10,3IINFOLTD.NS,0
3,3MINDIA,3M India Limited,EQ,13-Aug-04,10,1,INE470A01017,10,3MINDIA.NS,208.61
4,3PLAND,3P Land Holdings Limited,EQ,19-Jul-95,2,1,INE105C01023,2,3PLAND.NS,0
5,5PAISA,5Paisa Capital Limited,EQ,16-Nov-17,10,1,INE618L01018,10,5PAISA.NS,5.73
6,63MOONS,63 moons technologies limited,EQ,20-Jun-05,2,1,INE111B01023,2,63MOONS.NS,0
7,A2ZINFRA,A2Z Infra Engineering Limited,EQ,23-Dec-10,10,1,INE619I01012,10,A2ZINFRA.NS,-19.265
8,AAKASH,Aakash Exploration Services Limited,EQ,29-Sep-20,10,1,INE087Z01016,10,AAKASH.NS,2.203
9,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,06-Aug-21,10,1,INE198H01019,10,AAREYDRUGS.NS,0
10,AARON,Aaron Industries Limited,EQ,06-Nov-20,10,1,INE721Z01010,10,AARON.NS,1.92
11,AARTIDRUGS,Aarti Drugs Limited,EQ,19-Sep-03,10,1,INE767A01016,10,AARTIDRUGS.NS,30.087
12,AARTIIND,Aarti Industries Limited,EQ,08-Feb-95,5,1,INE769A01020,5,AARTIIND.NS,15.02
13,AARTISURF,Aarti Surfactants Limited,EQ,14-Jul-20,10,1,INE09EO01013,10,AARTISURF.NS,28.52
14,AARVEEDEN,Aarvee Denims & Exports Limited,EQ,21-Nov-06,10,1,INE273D01019,10,AARVEEDEN.NS,-14.668
15,AARVI,Aarvi Encon Limited,EQ,24-Jun-20,10,1,INE754X01016,10,AARVI.NS,7.762
16,AAVAS,Aavas Financiers Limited,EQ,08-Oct-18,10,1,INE216P01012,10,AAVAS.NS,36.54
17,ABAN,Aban Offshore Limited,BE,29-Mar-95,2,1,INE421A01028,2,ABAN.NS,-1455.66
18,ABB,ABB India Limited,EQ,08-Feb-95,2,1,INE117A01022,2,ABB.NS,13.96
19,ABBOTINDIA,Abbott India Limited,EQ,08-Jan-10,10,1,INE358A01014,10,ABBOTINDIA.NS,325.04
20,ABCAPITAL,Aditya Birla Capital Limited,EQ,01-Sep-17,10,1,INE674K01013,10,ABCAPITAL.NS,4.66
21,ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-Jul-13,10,1,INE647O01011,10,ABFRL.NS,-8.23
22,ABMINTLLTD,ABM International Limited,EQ,09-Sep-21,10,1,INE251C01025,10,ABMINTLLTD.NS,0
23,ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,11-Oct-21,5,1,INE404A01024,5,ABSLAMC.NS,
24,ACC,ACC Limited,EQ,20-Nov-96,10,1,INE012A01025,10,ACC.NS,88.701
25,ACCELYA,Accelya Solutions India Limited,EQ,01-Dec-99,10,1,INE793A01012,10,ACCELYA.NS,18.352
26,ACCURACY,Accuracy Shipping Limited,EQ,11-Dec-20,10,1,INE648Z01015,10,ACCURACY.NS,3.52
27,ACE,Action Construction Equipment Limited,EQ,26-Sep-06,2,1,INE731H01025,2,ACE.NS,7.03
28,ACRYSIL,Acrysil Limited,EQ,14-Jan-21,2,1,INE482D01024,2,ACRYSIL.NS,14.66
29,ADANIENT,Adani Enterprises Limited,EQ,04-Jun-97,1,1,INE423A01024,1,ADANIENT.NS,8.389
30,ADANIGREEN,Adani Green Energy Limited,EQ,18-Jun-18,10,1,INE364U01010,10,ADANIGREEN.NS,0.684
31,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-Nov-07,2,1,INE742F01042,2,ADANIPORTS.NS,24.581
32,ADANIPOWER,Adani Power Limited,EQ,20-Aug-09,10,1,INE814H01011,10,ADANIPOWER.NS,-0.742
33,ADANITRANS,Adani Transmission Limited,BE,31-Jul-15,10,1,INE931S01010,10,ADANITRANS.NS,9.023
34,ADFFOODS,ADF Foods Limited,EQ,15-Sep-10,10,1,INE982B01019,10,ADFFOODS.NS,23.96
35,ADL,Archidply Decor Limited,BE,01-Oct-20,10,1,INE0CHO01012,10,ADL.NS,-2.207
36,ADORWELD,Ador Welding Limited,EQ,10-May-95,10,1,INE045A01017,10,ADORWELD.NS,-7.63
37,ADROITINFO,Adroit Infotech Limited,EQ,13-Aug-97,10,1,INE737B01033,10,ADROITINFO.NS,-16.247
38,ADSL,Allied Digital Services Limited,EQ,25-Jul-07,5,1,INE102I01027,5,ADSL.NS,3.55
39,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,25-Jun-07,2,1,INE199C01026,2,ADVANIHOTR.NS,-0.499
40,ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,01-Aug-16,2,1,INE837H01020,2,ADVENZYMES.NS,13.07
41,AEGISCHEM,Aegis Logistics Limited,EQ,03-Apr-96,1,1,INE208C01025,1,AEGISCHEM.NS,-1.262
42,AFFLE,Affle (India) Limited,EQ,08-Aug-19,2,1,INE00WC01027,2,AFFLE.NS,52.96
43,AGARIND,Agarwal Industrial Corporation Limited,EQ,26-May-14,10,1,INE204E01012,10,AGARIND.NS,39.51
44,AGCNET,AGC Networks Limited,BE,22-Jul-03,10,1,INE676A01019,10,AGCNET.NS,48.038
45,AGRITECH,Agri-Tech (India) Limited,BE,28-Jan-14,10,1,INE449G01018,10,AGRITECH.NS,
46,AGROPHOS,Agro Phos India Limited,EQ,08-Mar-19,10,1,INE740V01019,10,AGROPHOS.NS,1.588
47,AHLADA,Ahlada Engineers Limited,EQ,28-Jan-21,10,1,INE00PV01013,10,AHLADA.NS,4.969
48,AHLEAST,Asian Hotels (East) Limited,EQ,11-Aug-10,10,1,INE926K01017,10,AHLEAST.NS,-23.683
49,AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-Dec-09,2,1,INE758C01029,2,AHLUCONT.NS,6.893
50,AHLWEST,Asian Hotels (West) Limited,BZ,05-Aug-10,10,1,INE915K01010,10,AHLWEST.NS,-98.759
51,AIAENG,AIA Engineering Limited,EQ,14-Dec-05,2,1,INE212H01026,2,AIAENG.NS,60.851
52,AIRAN,Airan Limited,EQ,03-May-19,2,1,INE645W01026,2,AIRAN.NS,0.472
53,AIROLAM,Airo Lam limited,EQ,13-Oct-21,10,1,INE801L01010,10,AIROLAM.NS,
